Date : 2024-04-17 14:21:23
Directory : /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime
Total : 218 files,  20101 codes, 12190 comments, 3597 blanks, all 35888 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarSingle.cs                                                               | C#                      |         20 |         20 |          5 |         45 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarString.cs                                                               | C#                      |         20 |         20 |          5 |         45 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarTexture.cs                                                              | C#                      |         21 |         20 |          5 |         46 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarTransform.cs                                                            | C#                      |         21 |         20 |          5 |         46 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarUInt16.cs                                                               | C#                      |         20 |         20 |          5 |         45 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarUInt32.cs                                                               | C#                      |         20 |         20 |          5 |         45 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarUInt64.cs                                                               | C#                      |         20 |         20 |          5 |         45 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarUnityObject.cs                                                          | C#                      |         21 |         20 |          5 |         46 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarVector2.cs                                                              | C#                      |         21 |         20 |          5 |         46 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarVector3.cs                                                              | C#                      |         21 |         20 |          5 |         46 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/Variable/VarVector4.cs                                                              | C#                      |         21 |         20 |          5 |         46 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/WebRequest/UnityWebRequestAgentHelper.cs                                            | C#                      |        133 |         36 |         18 |        187 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/WebRequest/WWWFormInfo.cs                                                           | C#                      |         41 |          6 |          8 |         55 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/WebRequest/WWWWebRequestAgentHelper.cs                                              | C#                      |        112 |         36 |         19 |        167 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/WebRequest/WebRequestAgentHelperBase.cs                                             | C#                      |         14 |         29 |          7 |         50 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/WebRequest/WebRequestComponent.cs                                                   | C#                      |        256 |        250 |         59 |        565 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/WebRequest/WebRequestFailureEventArgs.cs                                            | C#                      |         61 |         38 |         11 |        110 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/WebRequest/WebRequestStartEventArgs.cs                                              | C#                      |         52 |         35 |         10 |         97 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Runtime/WebRequest/WebRequestSuccessEventArgs.cs                                            | C#                      |         61 |         39 |         12 |        112 |
| Total                                                                                                                                                 |                         |     20,101 |     12,190 |      3,597 |     35,888 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
