Date : 2024-04-17 14:30:50
Directory : /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework
Total : 331 files,  30927 codes, 21404 comments, 6514 blanks, all 58845 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| C#                      |        330 |     30,913 |     21,404 |      6,514 |     58,831 |
| UnityAssemblyDefinition |          1 |         14 |          0 |          0 |         14 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadAgentHelperUpdateLengthEventArgs.cs                    | C#                      |         29 |         23 |          6 |         58 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadFailureEventArgs.cs                                    | C#                      |         57 |         39 |          9 |        105 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadManager.DownloadAgent.cs                               | C#                      |        272 |         57 |         47 |        376 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadManager.DownloadCounter.DownloadCounterNode.cs         | C#                      |         50 |          6 |          9 |         65 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadManager.DownloadCounter.cs                             | C#                      |        142 |          6 |         23 |        171 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadManager.DownloadTask.cs                                | C#                      |         88 |         44 |         12 |        144 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadManager.DownloadTaskStatus.cs                          | C#                      |         13 |         21 |          5 |         39 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadManager.cs                                             | C#                      |        281 |        161 |         45 |        487 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadStartEventArgs.cs                                      | C#                      |         57 |         39 |          9 |        105 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadSuccessEventArgs.cs                                    | C#                      |         57 |         39 |          9 |        105 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadUpdateEventArgs.cs                                     | C#                      |         57 |         39 |          9 |        105 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/IDownloadAgentHelper.cs                                        | C#                      |         15 |         42 |         10 |         67 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/IDownloadManager.cs                                            | C#                      |         64 |        146 |         31 |        241 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/EntityManager.EntityGroup.cs                                     | C#                      |        260 |         91 |         44 |        395 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/EntityManager.EntityInfo.cs                                      | C#                      |        110 |          9 |         18 |        137 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/EntityManager.EntityInstanceObject.cs                            | C#                      |         43 |          9 |          9 |         61 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/EntityManager.EntityStatus.cs                                    | C#                      |         18 |          9 |          2 |         29 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/EntityManager.ShowEntityInfo.cs                                  | C#                      |         64 |          6 |          9 |         79 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/EntityManager.cs                                                 | C#                      |        846 |        323 |        159 |      1,328 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/HideEntityCompleteEventArgs.cs                                   | C#                      |         49 |         35 |          8 |         92 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/IEntity.cs                                                       | C#                      |         31 |         66 |         14 |        111 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/IEntityGroup.cs                                                  | C#                      |         49 |         78 |         19 |        146 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/IEntityGroupHelper.cs                                            | C#                      |          6 |          9 |          2 |         17 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/IEntityHelper.cs                                                 | C#                      |          9 |         26 |          4 |         39 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/IEntityManager.cs                                                | C#                      |         79 |        307 |         65 |        451 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/ShowEntityDependencyAssetEventArgs.cs                            | C#                      |         73 |         47 |         11 |        131 |
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/ShowEntityFailureEventArgs.cs                                    | C#                      |         57 |         39 |          9 |        105 |
